Topic,Count,Name,Representation,Representative_Docs
-1,2990,-1_não_você_que_eu,"['não', 'você', 'que', 'eu', 'pra', 'aqui', 'tá', 'tudo', 'se', 'mais']","['Mas que em um', 'Se não for com você, não vai ser com ninguém', 'Mais só pra você em mim, em mim']"
0,830,0_amor_amo_amar_ama,"['amor', 'amo', 'amar', 'ama', 'paixão', 'amei', 'te', 'nosso', 'amando', 'roça']","['Eu te amo', 'Meu amor é você', 'É amor']"
1,229,1_não_vou_quero_nem,"['não', 'vou', 'quero', 'nem', 'atender', 'sou', 'sai', 'nada', 'eu', 'ficar']","['Mas nada eu não sou', 'Não quero nada', 'Não vou, não']"
2,223,2_ela_dela_culpa_menina,"['ela', 'dela', 'culpa', 'menina', 'tem', 'sabe', 'mulher', 'fazendeiro', 'falou', 'princesa']","['Se ela não te quer', 'E, do meu lado, ela, sempre ela', 'Só ela']"
3,201,3_beijo_beijar_beija_boca,"['beijo', 'beijar', 'beija', 'boca', 'beijos', 'beijando', 'beijou', 'beijava', 'beijei', 'um']","['Meu melhor beijo, pior beijo', 'E um beijo', 'E um beijo']"
4,179,4_chorar_choro_chorei_chorando,"['chorar', 'choro', 'chorei', 'chorando', 'chora', 'lágrima', 'lágrimas', 'triste', 'pulei', 'chorou']","['E não chorar', 'Quando for chorar, eu choro com você', 'Se é pra chorar eu choro']"
5,166,5_coração_meu_corações_cuidado,"['coração', 'meu', 'corações', 'cuidado', 'seu', 'está', 'dona', 'mãos', 'do', 'suas']","['Do meu coração', 'Do meu coração', 'De coração pra coração']"
6,154,6_vida_viver_minha_inteira,"['vida', 'viver', 'minha', 'inteira', 'viva', 'vivo', 'vivendo', 'life', 'dessa', 'morro']","['Da minha vida', 'Vida', 'Ô, vida']"
7,136,7_quero_preciso_queira_você,"['quero', 'preciso', 'queira', 'você', 'merecer', 'te', 'mim', 'comigo', 'prender', 'uoh']","['Eu só quero você', 'Que eu quero você', 'Eu quero e sei que você também(Diz pra mim)Diz o que é preciso pra te ter aqui comigo']"
8,132,8_saudade_sentir_arrepender_falta,"['saudade', 'sentir', 'arrepender', 'falta', 'sinto', 'louca', 'morrendo', 'saudades', 'bateu', 'hoje']","['Saudade de você, saudade de você', 'S de saudade', 'Ô, saudade']"
9,105,9_deus_jesus_fé_santo,"['deus', 'jesus', 'fé', 'santo', 'oração', 'orar', 'livre', 'latada', 'abençoar', 'abençoou']","['Deus', 'Deus,', 'Deus']"
10,94,10_tempo_hora_minuto_passou,"['tempo', 'hora', 'minuto', 'passou', 'relógio', 'passar', 'horas', 'tarde', 'segundos', 'assisto']","['Pra tudo tem seu tempo e esse é o nosso tempo', 'Do tempo e de tudo', 'Um minuto, uma hora, não importa o tempo']"
11,93,11_voltar_volta_atividade_tamo,"['voltar', 'volta', 'atividade', 'tamo', 'nóis', 'volto', 'traz', 'implorei', 'novo', 'atrás']","['Se quiser voltar, nóis tamo aí na atividade(Todo mundo sabe que cê ama um maloqueiro) nóis tamo aí na atividade(Todo mundo sabe que cê ama um maloqueiro) nóis tamo aí na atividade(Todo mundo sabe que cê ama um maloqueiro) cê que sabe', 'Se quiser voltar, nóis tamo aí na atividade(Nóis tamo aí na atividade)(Nóis tamo aí na atividade)(Cê que sabe)(Se quiser voltar, nóis tamo aí na atividade) eu disse:', 'Se quiser voltar, nóis tamo aí na atividade']"
12,84,12_não_adianta_lamentemos_explana,"['não', 'adianta', 'lamentemos', 'explana', 'late', 'perder', 'boiadeiro', 'dificuldade', 'estragar', 'morde']","['Só não explana pra não estragar', 'Cão que late não morde', 'E pra minha sorte, cão que late não morde']"
13,81,13_oh_uou_ah_ooh,"['oh', 'uou', 'ah', 'ooh', 'uô', 'oi', 'iê', 'ha', 'eh', 'uôu']","['Oh, oh', 'Oh oh oh, oh oh oh, na na na', 'Oh, oh, uou']"
14,77,14_sei_conhece_sabe_conheço,"['sei', 'conhece', 'sabe', 'conheço', 'saber', 'soube', 'crítica', 'placa', 'bem', 'muito']","['Sei bem', 'É, você já sabe, me conhece muito bem', 'Eu sei, eu sei']"
15,76,15_sorriso_sorrir_teu_sorrindo,"['sorriso', 'sorrir', 'teu', 'sorrindo', 'sorri', 'esse', 'iê', 'orelha', 'rosto', 'feliz']","['E a cada sorriso seu', 'De novo teu sorriso, ai', 'Esse sorriso teu']"
16,75,16_doce_fiquei_passei_caramelo,"['doce', 'fiquei', 'passei', 'caramelo', 'pousando', 'revoada', 'fiz', 'consciente', 'tô', 'peguei']","['Agora eu fiquei doce igual caramelo', 'Agora eu fiquei doce, doce, doce, doce', 'Agora eu fiquei do-do-do-do-doce, doce']"
17,74,17_esquecer_esqueci_esqueceu_esquece,"['esquecer', 'esqueci', 'esqueceu', 'esquece', 'esqueça', 'capaz', 'esqueço', 'esquecimento', 'esquecendo', 'ignora']","['Pra esquecer', 'De me esquecer', 'De me esquecer']"
18,69,18_boca_bocas_dose_sua,"['boca', 'bocas', 'dose', 'sua', 'gosto', 'beijinho', 'mordendo', 'minha', 'outra', 'cinco']","['Sua boca na minha boca fez história', 'Sua boca é minha', 'Só boca a boca']"
19,69,19_olhos_olho_fecho_olhar,"['olhos', 'olho', 'fecho', 'olhar', 'seus', 'os', 'marrom', 'meus', 'castanhos', 'visão']","['Olhar nos seus olhos e dizer', 'Eu fecho os olhos', 'Eu fecho os meus olhos']"
20,68,20_roupa_vestido_camisa_corpo,"['roupa', 'vestido', 'camisa', 'corpo', 'tirando', 'proíba', 'preta', 'boné', 'roupas', 'tirar']","['O gosto pela roupa, a cor do vestido', 'Só sabe tirar a roupa', 'O que é que tem a gente se beijar sem roupa?']"
21,68,21_noite_escuro_noites_meia,"['noite', 'escuro', 'noites', 'meia', 'escura', 'toda', 'noturno', 'estacionei', 'caminhonete', 'pássaro']","['Eu só quero uma noite de amor', 'Toda noite', 'Toda noite']"
22,64,22_lembrar_memória_lembra_lembranças,"['lembrar', 'memória', 'lembra', 'lembranças', 'lembre', 'lembrança', 'lembro', 'lembrei', 'golin', 'recordações']","['Só pra te fazer lembrar de mim', 'Mas eu só quero lembrar', 'Quando eu me lembrar']"
23,64,23_soubesse_era_pudesse_fui,"['soubesse', 'era', 'pudesse', 'fui', 'fosse', 'se', 'alguém', 'tinha', 'mente', 'realmente']","['Se eu soubesse tinha feito antes', 'Luan)Se você soubesse que na minha mente', 'Se você soubesse que na minha mente']"
24,62,24_canta_música_balada_cantar,"['canta', 'música', 'balada', 'cantar', 'violão', 'vendi', 'voz', 'cantando', 'canção', 'cantor']","['O que canta eu vendi por cinquenta e o que não canta eu vendi por cem', 'Uma música', 'Uma música']"
25,61,25_dor_doer_doendo_dói,"['dor', 'doer', 'doendo', 'dói', 'machuca', 'machucar', 'sufoco', 'dores', 'cicatriza', 'feridas']","['Você é minha dor', 'A minha dor', 'Se essa dor doer em mim']"
26,60,26_vem_chegar_chegando_cá,"['vem', 'chegar', 'chegando', 'cá', 'tocar', 'pode', 'acudir', 'costume', 'indo', 'aqui']","['(Vem cá', 'Vem cá', 'Vem cá,']"
27,59,27_ilusão_pensamento_acreditar_penso,"['ilusão', 'pensamento', 'acreditar', 'penso', 'obsessão', 'realidade', 'acho', 'pensar', 'fantasia', 'acredito']","['É ilusão achar que tudo está igual', 'E no pensamento está', 'Foi ilusão']"
28,58,28_medo_perigo_risco_obreiro,"['medo', 'perigo', 'risco', 'obreiro', 'proteger', 'sentar', 'elas', 'mal', 'aguça', 'aproximou']","['Será que é só medo', 'O medo de falar', 'Do que cê tá com medo?']"
29,57,29_cama_dormir_camas_sexo,"['cama', 'dormir', 'camas', 'sexo', 'na', 'deita', 'acabando', 'inesquecível', 'motel', 'travesseiro']","['Nossa cama agora é só pra dormir mesmo', 'Que cê faz em cima da minha cama', 'Da cama']"
30,56,30_louco_culpa_mal_farrapo,"['louco', 'culpa', 'mal', 'farrapo', 'pirada', 'viciado', 'fiz', 'sou', 'tratar', 'doida']","['Que mal te fiz eu?', 'Eu sou doida, eu sou louca, maluca, pirada em você', 'Eu sou doida, eu sou louca, maluca, pirada em você(Bem assim, ó)Se um dia quiser ir embora, vai, mas me leva junto']"
