ranking_posicao,titulo,artista,titulo_original,artista_original,letra,url,ano,coletado_em,contagem_palavras,contagem_linhas,fonte
4,Segundo Amor da Sua Vida,Marilia Mendonca,Segundo Amor Da Sua Vida,Marilia Mendonca,"Não se diminua pra caber num coração Que só tem espaço Debaixo do tapete Você não tem culpa se ela não enxerga Um palmo à frente do nariz Mas, qualquer coisa, eu tô aqui Na verdade, eu sempre estive Só tô deixando você viver livre Mas, mesmo assim, não quero ver você sofrer Se ela não quiser, já tem quem vai querer Tá na sua frente Que azar o meu e que sorte a dela Eu amando você, você amando ela Eu só quero você, você só quer conselho Por que será que ela te trata desse jeito? Que azar o meu e que sorte a dela Eu amando você, você amando ela Tenta lá, se não der certo, me avisa Posso ser o segundo, terceiro, o quarto amor da sua vida Na verdade, eu sempre estive Só tô deixando você viver livre Mas, mesmo assim, não quero ver você sofrer Se ela não quiser, já tem quem vai querer Tá na sua frente Que azar o meu e que sorte a dela Eu amando você, você amando ela Eu só quero você, você só quer conselho Por que será que ela te trata desse jeito? Que azar o meu e que sorte a dela Eu amando você, você amando ela Tenta lá, se não der certo, me avisa Posso ser o segundo, terceiro, o quarto amor da sua vida Tenta lá, se não der certo, me avisa Posso ser o segundo, terceiro, o quarto amor da sua vida",https://www.letras.mus.br/marilia-mendonca/segundo-amor-da-sua-vida/,2025.0,2025-10-27T17:49:59.330596,249,1,sertanejo_todos_anos
5,Amor Dos Outros,Henrique & Juliano,Amor Dos Outros,Henrique E Juliano,"Mais um casal surgindo, anéis de compromisso Mais um novo amigo pros amigos meus Um sorriso sumindo, um ciúme vindo E a luta agora é entre ele e eu A gente errou tanto pra entrar no eixo Trocou tanta ideia pra ser um casal perfeito Foi se melhorando, se moldando, você consertou, eu consertei E quando tava tudo ok, sobrei Esse sorriso que sumiu da minha cara tá na cara dele O seu pra sempre, que sumiu de mim pra sempre, apareceu pra ele É lindo pegar um te amo no meio do caminho Eu quero ver construir um te amo desde o início O difícil é, pra mim, não ter sido feliz por pouco O fácil é, pra ele, ser feliz com o amor dos outros O difícil é, pra mim, não ter sido feliz por pouco O fácil é, pra ele, ser feliz com o amor dos outros A gente errou tanto pra entrar no eixo Trocou tanta ideia pra ser um casal perfeito Foi se melhorando, se moldando, você consertou, eu consertei E quando tava tudo ok, sobrei Esse sorriso que sumiu da minha cara tá na cara dele O seu pra sempre, que sumiu de mim pra sempre, apareceu pra ele É lindo pegar um te amo no meio do caminho Eu quero ver construir um te amo desde o início O difícil é, pra mim, não ter sido feliz por pouco O fácil é, pra ele, ser feliz com o amor dos outros O difícil é, pra mim, não ter sido feliz por pouco O fácil é, pra ele, ser feliz com o amor dos outros",https://www.letras.mus.br/henrique-e-juliano/amor-dos-outros/,2025.0,2025-10-27T17:50:00.574460,271,1,sertanejo_todos_anos
6,Sua Boca Mente (You're Still The One) (part. Ana Castela),Ze Felipe,Sua Boca Mente Youre Still The One Part Ana Castela,Ze Felipe,"(Hum, hum, hum)Eu não sabia Que a sua boca mente Eu só queria O teus beijos lentamente Chorei (chorei), eu sei (eu sei)Que sentimento não se cobra Mas a paixão Cegou os meus olhos E o coração(A solidão) quem só me fez chorar? Tu Quem só me fez beber? Tu O seu amor me fez tão mal(A solidão) mas eu só sei amar tu Mas eu só sei querer tu O seu amor é surreal Eu não sabia (eu não sabia)Que a sua boca mente Eu só queria Os teus beijos lentamente Chorei (chorei), eu sei (eu sei)Que sentimento não se cobra Mas a paixão Cegou os meus olhos E o coração(A solidão) quem só me fez chorar? Tu Quem só me fez beber? Tu O seu amor me fez tão mal(A solidão) mas eu só sei amar tu Mas eu só sei querer tu O seu amor é surreal(A solidão) quem só me fez chorar? Tu Quem só me fez beber? Tu O seu amor me fez tão mal(A solidão) mas eu só sei amar tu Mas eu só sei querer tu O seu amor é surreal Eu não sabia Que a sua boca mente",https://www.letras.mus.br/ze-felipe/sua-boca-mente-youre-still-the-one-part-ana-castela/,2025.0,2025-10-27T17:50:02.204498,196,1,sertanejo_todos_anos
7,Caso Indefinido,Cristiano Araujo,Caso Indefinido,Cristiano Araujo,"Será que alguém explica a nossa relação? Um caso indefinido, mas rola paixão Adoro esse perigo, mexe demais comigo Mas não te tenho em minhas mãos Se você quiser Podemos ser um caso indefinido ou nada mais Apenas bons amigos, namorar, casar, ter filhos Passar a vida inteira juntos, oh E vai saber se um dia seremos nós Nenhum beijo pra calar nossa voz Um minuto, uma hora, não importa o tempo Se estamos sós Se você quiser A gente casa ou namora A gente fica ou enrola O que eu mais quero é que você me queira, oh Se você quiser A gente casa ou namora A gente fica ou enrola O que eu mais quero é que você me queira, oh Por um momento ou pra vida inteira E vai saber se um dia seremos nós Nenhum beijo pra calar nossa voz Um minuto, uma hora, não importa o tempo Se estamos sós Se você quiser A gente casa ou namora A gente fica ou enrola O que eu mais quero é que você me queira, oh Se você quiser A gente casa ou namora A gente fica ou enrola O que eu mais quero é que você me queira, oh Se você quiser A gente casa ou namora A gente fica ou enrola O que eu mais quero é que você me queira, oh Se você quiser A gente casa ou namora A gente fica ou enrola O que eu mais quero é que você me queira, oh Por um momento ou pra vida inteira",https://www.letras.mus.br/cristiano-araujo/caso-indefinido/,2013.0,2025-10-27T17:50:03.519266,258,1,sertanejo_todos_anos
8,Deixa Eu,Murilo Huff,Deixa Eu,Murilo Huff,"Agora pronto Tudo que eu posto, pensa que é pra você, yeah Cê não aceita o fato que a gente terminou sem eu sofrer Ô queridona Te dói me ver seguindo a vida adiante Desculpa, cê deixou de ser interessante Por essa cê não esperava Que a nossa terminada foi a terminada Deixa eu Pra que que eu vou forçar um drama aqui se nem doeu? Foi mal aí se minha superação te ofendeu Cê me largou achando que eu ia cair no choro Mas o choro errou de olho Deixa eu Pra que que eu vou forçar um drama aqui se nem doeu? Foi mal aí se minha superação te ofendeu Cê me largou achando que eu ia cair no choro Mas o choro errou de olho Deixa eu Ô queridona Te dói me ver seguindo a vida adiante Desculpa, cê deixou de ser interessante Por essa cê não esperava Que a nossa terminada foi a terminada Deixa eu Pra que que eu vou forçar um drama aqui se nem doeu? Foi mal aí se minha superação te ofendeu Cê me largou achando que eu ia cair no choro Mas o choro errou de olho Deixa eu Pra que que eu vou forçar um drama aqui se nem doeu? Foi mal aí se minha superação te ofendeu Cê me largou achando que eu ia cair no choro Mas o choro errou de olho Deixa eu Pra que que eu vou forçar um drama aqui se nem doeu? Foi mal aí se minha superação te ofendeu Cê me largou achando que eu ia cair no choro Mas o choro errou de olho Deixa eu Cê me largou achando que eu ia cair no choro Mas o choro errou de olho Deixa eu",https://www.letras.mus.br/murilo-huff/deixa-eu/,2025.0,2025-10-27T17:50:05.558773,292,1,sertanejo_todos_anos
9,Body Splash (part. Luan Pereira),Felipe Araujo,Body Splash,Felipe Araujo,"Troquei de lençol, troquei de colchão Mas de sentimento ainda não Ô mania que cê tinha de dormir cheirosa Deu vontade de respirar sua pele agora Mas o seu perfume só tá perfumando a minha memória Deito na cama e na minha mente vem uns flash Você pelada, borrifando o body splash O poder da saudade é de dar medo Eu sinto raiva de mim porque ainda sinto o seu cheiro Deito na cama e na minha mente vem uns flash Você pelada, borrifando o body splash O poder da saudade é de dar medo Eu sinto raiva de mim porque ainda sinto o seu cheiro Ô mania que cê tinha de dormir cheirosa Deu vontade de respirar sua pele agora Mas o seu perfume só tá perfumando a minha memória Deito na cama e na minha mente vem uns flash Você pelada, borrifando o body splash O poder da saudade é de dar medo Eu sinto raiva de mim porque ainda sinto o seu cheiro Deito na cama e na minha mente vem uns flash Você pelada, borrifando o body splash O poder da saudade é de dar medo Eu sinto raiva de mim porque ainda sinto o seu cheiro O poder da saudade é de dar medo Eu sinto raiva de mim porque ainda sinto o seu cheiro",https://www.letras.mus.br/felipe-araujo/body-splash/,2024.0,2025-10-27T17:50:07.096284,220,1,sertanejo_todos_anos
10,Tubarões,Diego Victor Hugo,Tubaroes,Diego Victor Hugo,Se quer saber de mim Pergunte para mim Se for falar do que passou Conta a parte que você errou Não pergunte se estou bem Não quero ser assunto seu pra mais ninguém Não estrague as minhas canções Vá pro inferno com suas recordações Quem me deixou no mar Não tem direito de me perguntar O que rolou comigo e os tubarões Cê não me deve amor Eu não te devo explicações Cê me deixou voar Agora quer saber aonde eu vou pousar Cancela as suas investigações Cê não me deve amor Eu não te devo explicações Não pergunte se estou bem Não quero ser assunto seu pra mais ninguém Não estrague as minhas canções Vá pro inferno com suas recordações Quem me deixou no mar Não tem direito de me perguntar O que rolou comigo e os tubarões Cê não me deve amor Eu não te devo explicações Cê me deixou voar Agora quer saber aonde eu vou pousar Cancela as suas investigações Cê não me deve amor Eu não te devo explicações Cê não me deve amor Eu não te devo explicações,https://www.letras.mus.br/diego-victor-hugo/tubaroes/,2025.0,2025-10-27T17:50:08.351503,184,1,sertanejo_todos_anos
11,Se Eu Te Perdoar (part. Zé Felipe),Clayton Romario,Se Eu Te Perdoar,Clayton Romario,"Joga uma taça no chão e pede desculpa Pra ver se ela vai colar os cacos do meu coração Se eu te desculpar, não vai curar tão fácil o machucado Meu sentimento foi por água abaixo Seu arrependimento chegou atrasado Cê não vai ouvir da minha boca que tá perdoada Não é pra mim que cê tem que pedir desculpa É pro meu peito, é pro meu choro É pros vizinho que eu acordei na madruga Com o som tremendo o bairro todo É pro dinheiro que eu gastei do bolso Com as longneck que eu virei no posto Não é pra mim que cê tem que pedir desculpa É pro meu peito, é pro meu choro É pros vizinhos que eu acordei na madruga Com o som tremendo o bairro todo É pro dinheiro que eu gastei do bolso Com as longneck que eu virei no posto Se eu te perdoar, como que eu me perdoo? Meu sentimento foi por água abaixo Seu arrependimento chegou atrasado Cê não vai ouvir da minha boca que tá perdoada Não é pra mim que cê tem que pedir desculpa É pro meu peito, é pro meu choro É pros vizinhos que eu acordei na madruga Com o som tremendo o bairro todo É pro dinheiro que eu gastei do bolso Com as longneck que eu virei no posto Não é pra mim que cê tem que pedir desculpa É pro meu peito, é pro meu choro É pros vizinho que eu acordei na madruga Com o som tremendo o bairro todo É pro dinheiro que eu gastei do bolso Com as longneck que eu virei no posto Se eu te perdoar, como é que eu me perdoo?",https://www.letras.mus.br/clayton-romario/se-eu-te-perdoar/,,2025-10-27T17:50:09.572171,285,1,sertanejo_todos_anos
12,Seja Ex,Henrique & Juliano,Seja Ex,Henrique E Juliano,"(Cê foi embora pra ser o quê? Pra ser ex, não foi?)(Então seja) (então seja ex)Minha esperança é você sair Beijar uma boca nos primeiros dez minutos Que aí eu pego ódio da sua cara e, se voltar Cê não bagunça mais um cara inseguro Porque se continuar nessa levada Cê vai ser o meu talvez pra sempre Porque aqui a gente briga, cê vai embora Mas lá fora cê respeita, não beija e não beira gente Cê tá freando a minha vida porque você não sabe o que sente Cê foi embora pra ser ex, seja ex Cê foi embora pra sumir, some O que cê tá fazendo com a minha vida é putaria, me desculpa Não tem outro nome Cê foi embora pra ser ex, seja ex Cê foi embora, então desaparece Porque a gente já passou dos trinta, cê não é mais uma menina E eu não sou moleque Cê foi embora pra ser ex, seja ex Cê foi embora pra sumir, some O que cê tá fazendo com a minha vida é putaria, me desculpa Não tem outro nome Cê foi embora pra ser ex, seja ex Cê foi embora, então desaparece Porque a gente já passou dos trinta, cê não é mais uma menina E eu não sou moleque Cresce(Foi embora pra ser ex e fica nesse chove não molha, sabe?)Porque se continuar nessa levada Cê vai ser o meu talvez pra sempre Porque aqui a gente briga, cê vai embora Mas lá fora cê respeita, não beija e não beira gente Cê tá freando a minha vida porque você não sabe o que sente(Cês sabem já? Sabem?)Cê foi embora pra ser ex, seja ex Cê foi embora pra sumir, some O que cê tá fazendo com a minha vida é putaria, me desculpa Não tem outro nome Cê foi embora pra ser ex, seja ex Cê foi embora, então desaparece Porque a gente já passou dos trinta, cê não é mais uma menina E eu não sou moleque Cê foi embora pra ser ex, seja ex Cê foi embora pra sumir, some O que cê tá fazendo com a minha vida é putaria, me desculpa Não tem outro nome Cê foi embora pra ser ex, seja ex Cê foi embora, então desaparece Porque a gente já passou dos trinta, cê não é mais uma menina E eu não sou moleque Cresce(Seja ex)",https://www.letras.mus.br/henrique-e-juliano/seja-ex/,2025.0,2025-10-27T17:50:11.307430,398,1,sertanejo_todos_anos
13,Princesa (part. Ana Castela),Gustavo Mioto,Princesa Part Ana Castela,Gustavo Mioto,"Respira, não pira Me beija, me abraça Deixa eu acalmar suas incertezas Seu medo de amar é normal Quem passou por aí te fez mal, mas passou Eu vou fazer você acreditar no amor Princesa, descansa, me ama Me experimenta de remédio pro teu medo De oito em oito segundos, te dou um beijo Eu vou curar seu medo Me fala onde é que tá doendo Me mostra onde foi que machucou Que eu vou soprar, beijar Beijar, te amar até curar a dor Me fala onde é que tá doendo Me mostra onde foi que machucou Que eu vou soprar, beijar Beijar, te amar até curar a dor Respiro, não piro Te beijo, te abraço Deixo acalmar minhas incertezas Meu medo de amar é normal Quem passou por aqui me fez mal, mas passou Eu vou fazer você acreditar no amor Princesa, descansa, me ama Me experimenta de remédio pro teu medo De oito em oito segundos, te dou um beijo Eu vou curar seu medo Me fala onde é que tá doendo Me mostra onde foi que machucou Que eu vou soprar, beijar Beijar, te amar até curar a dor Me fala onde é que tá doendo Me mostra onde foi que machucou Que eu vou soprar, beijar Beijar, te amar até curar a dor Eu vou soprar, beijar Beijar, te amar até curar a dor",https://www.letras.mus.br/gustavo-mioto/princesa-part-ana-castela/,2025.0,2025-10-27T17:50:13.170441,228,1,sertanejo_todos_anos
