ranking_posicao,titulo,tag_musica,tag_trecho,letra,artista,ano,contagem_palavras
4,Segundo Amor da Sua Vida,musica1,musica1_trecho1,Não se diminua pra caber num coração,Marilia Mendonca,2025.0,7
4,Segundo Amor da Sua Vida,musica1,musica1_trecho2,"Se ela não quiser, já tem quem vai querer",Marilia Mendonca,2025.0,9
4,Segundo Amor da Sua Vida,musica1,musica1_trecho3,Tá na sua frente,Marilia Mendonca,2025.0,4
4,Segundo Amor da Sua Vida,musica1,musica1_trecho4,Que azar o meu e que sorte a dela,Marilia Mendonca,2025.0,9
4,Segundo Amor da Sua Vida,musica1,musica1_trecho5,"Eu amando você, você amando ela",Marilia Mendonca,2025.0,6
4,Segundo Amor da Sua Vida,musica1,musica1_trecho6,"Eu só quero você, você só quer conselho",Marilia Mendonca,2025.0,8
4,Segundo Amor da Sua Vida,musica1,musica1_trecho7,Por que será que ela te trata desse jeito?,Marilia Mendonca,2025.0,9
4,Segundo Amor da Sua Vida,musica1,musica1_trecho8,"Tenta lá, se não der certo, me avisa",Marilia Mendonca,2025.0,8
4,Segundo Amor da Sua Vida,musica1,musica1_trecho9,"Posso ser o segundo, terceiro, o quarto amor da sua vida",Marilia Mendonca,2025.0,11
4,Segundo Amor da Sua Vida,musica1,musica1_trecho10,Que só tem espaço,Marilia Mendonca,2025.0,4
4,Segundo Amor da Sua Vida,musica1,musica1_trecho11,Debaixo do tapete,Marilia Mendonca,2025.0,3
4,Segundo Amor da Sua Vida,musica1,musica1_trecho12,Você não tem culpa se ela não enxerga,Marilia Mendonca,2025.0,8
4,Segundo Amor da Sua Vida,musica1,musica1_trecho13,Um palmo à frente do nariz,Marilia Mendonca,2025.0,6
4,Segundo Amor da Sua Vida,musica1,musica1_trecho14,"Mas, qualquer coisa, eu tô aqui",Marilia Mendonca,2025.0,6
4,Segundo Amor da Sua Vida,musica1,musica1_trecho15,"Na verdade, eu sempre estive",Marilia Mendonca,2025.0,5
4,Segundo Amor da Sua Vida,musica1,musica1_trecho16,Só tô deixando você viver livre,Marilia Mendonca,2025.0,6
4,Segundo Amor da Sua Vida,musica1,musica1_trecho17,"Mas, mesmo assim, não quero ver você sofrer",Marilia Mendonca,2025.0,8
13,Princesa (part. Ana Castela),musica10,musica10_trecho1,"Respira, não pira",Gustavo Mioto,2025.0,3
13,Princesa (part. Ana Castela),musica10,musica10_trecho2,Eu vou curar seu medo,Gustavo Mioto,2025.0,5
13,Princesa (part. Ana Castela),musica10,musica10_trecho3,Me fala onde é que tá doendo,Gustavo Mioto,2025.0,7
13,Princesa (part. Ana Castela),musica10,musica10_trecho4,Me mostra onde foi que machucou,Gustavo Mioto,2025.0,6
13,Princesa (part. Ana Castela),musica10,musica10_trecho5,"Que eu vou soprar, beijar",Gustavo Mioto,2025.0,5
13,Princesa (part. Ana Castela),musica10,musica10_trecho6,"Beijar, te amar até curar a dor",Gustavo Mioto,2025.0,7
13,Princesa (part. Ana Castela),musica10,musica10_trecho7,"Respiro, não piro",Gustavo Mioto,2025.0,3
13,Princesa (part. Ana Castela),musica10,musica10_trecho8,"Me beija, me abraça",Gustavo Mioto,2025.0,4
13,Princesa (part. Ana Castela),musica10,musica10_trecho9,"Te beijo, te abraço",Gustavo Mioto,2025.0,4
13,Princesa (part. Ana Castela),musica10,musica10_trecho10,Deixo acalmar minhas incertezas,Gustavo Mioto,2025.0,4
13,Princesa (part. Ana Castela),musica10,musica10_trecho11,Meu medo de amar é normal,Gustavo Mioto,2025.0,6
13,Princesa (part. Ana Castela),musica10,musica10_trecho12,"Quem passou por aqui me fez mal, mas passou",Gustavo Mioto,2025.0,9
13,Princesa (part. Ana Castela),musica10,musica10_trecho13,Deixa eu acalmar suas incertezas,Gustavo Mioto,2025.0,5
13,Princesa (part. Ana Castela),musica10,musica10_trecho14,"Eu vou soprar, beijar",Gustavo Mioto,2025.0,4
13,Princesa (part. Ana Castela),musica10,musica10_trecho15,Seu medo de amar é normal,Gustavo Mioto,2025.0,6
13,Princesa (part. Ana Castela),musica10,musica10_trecho16,"Quem passou por aí te fez mal, mas passou",Gustavo Mioto,2025.0,9
13,Princesa (part. Ana Castela),musica10,musica10_trecho17,Eu vou fazer você acreditar no amor,Gustavo Mioto,2025.0,7
13,Princesa (part. Ana Castela),musica10,musica10_trecho18,"Princesa, descansa, me ama",Gustavo Mioto,2025.0,4
13,Princesa (part. Ana Castela),musica10,musica10_trecho19,Me experimenta de remédio pro teu medo,Gustavo Mioto,2025.0,7
13,Princesa (part. Ana Castela),musica10,musica10_trecho20,"De oito em oito segundos, te dou um beijo",Gustavo Mioto,2025.0,9
103,A Maior Saudade,musica100,musica100_trecho1,Tem amores da vida que não são pra vida,Henrique & Juliano,2021.0,9
103,A Maior Saudade,musica100,musica100_trecho2,Apesar de não valer o álcool que eu tô bebendo,Henrique & Juliano,2021.0,10
103,A Maior Saudade,musica100,musica100_trecho3,"Mesmo que você ligue o foda-se, cê segue sendo",Henrique & Juliano,2021.0,9
103,A Maior Saudade,musica100,musica100_trecho4,A maior saudade de todos os tempos,Henrique & Juliano,2021.0,7
103,A Maior Saudade,musica100,musica100_trecho5,"Nesse caso, eu e você somos a prova viva",Henrique & Juliano,2021.0,9
103,A Maior Saudade,musica100,musica100_trecho6,Tem começo que o fim nem passa na cabeça,Henrique & Juliano,2021.0,9
103,A Maior Saudade,musica100,musica100_trecho7,"Até que um belo dia, esse dia chega",Henrique & Juliano,2021.0,8
103,A Maior Saudade,musica100,musica100_trecho8,Chega chamando pelo nome quem chamou de amor,Henrique & Juliano,2021.0,8
103,A Maior Saudade,musica100,musica100_trecho9,"E a boca que falou te amo, fala que acabou",Henrique & Juliano,2021.0,10
103,A Maior Saudade,musica100,musica100_trecho10,"E o nosso pra sempre, infelizmente, não vingou",Henrique & Juliano,2021.0,8
103,A Maior Saudade,musica100,musica100_trecho11,Apesar de não te comover com o meu sofrimento,Henrique & Juliano,2021.0,9
103,A Maior Saudade,musica100,musica100_trecho12,Mesmo que sair da sua vida seja um livramento,Henrique & Juliano,2021.0,9
104,Jejum de Amor,musica101,musica101_trecho1,Não sou de ficar mais de uma semana sem amor,Gusttavo Lima,2014.0,10
104,Jejum de Amor,musica101,musica101_trecho2,Eu necessito ter de volta seu calor,Gusttavo Lima,2014.0,7
104,Jejum de Amor,musica101,musica101_trecho3,Sua boca é minha,Gusttavo Lima,2014.0,4
104,Jejum de Amor,musica101,musica101_trecho4,Domina a minha,Gusttavo Lima,2014.0,3
104,Jejum de Amor,musica101,musica101_trecho5,E o que é que as duas estão fazendo tão sozinhas,Gusttavo Lima,2014.0,11
104,Jejum de Amor,musica101,musica101_trecho6,"Ai, ai, ai, boca minha",Gusttavo Lima,2014.0,5
104,Jejum de Amor,musica101,musica101_trecho7,"Sem um beijo, sem um corpo, tá difícil",Gusttavo Lima,2014.0,8
104,Jejum de Amor,musica101,musica101_trecho8,"Deixa eu te falar, eu vou fazer jejum de amor",Gusttavo Lima,2014.0,10
104,Jejum de Amor,musica101,musica101_trecho9,Pra provar o que eu sinto,Gusttavo Lima,2014.0,6
104,Jejum de Amor,musica101,musica101_trecho10,Quer saber?,Gusttavo Lima,2014.0,2
104,Jejum de Amor,musica101,musica101_trecho11,Eu tô arrependido,Gusttavo Lima,2014.0,3
104,Jejum de Amor,musica101,musica101_trecho12,Porque não falei no seu ouvido,Gusttavo Lima,2014.0,6
104,Jejum de Amor,musica101,musica101_trecho13,As frases de amor que não falei em nosso cobertor,Gusttavo Lima,2014.0,10
104,Jejum de Amor,musica101,musica101_trecho14,"Sentimento proibido, até parece impossível",Gusttavo Lima,2014.0,5
105,Carta Aberta,musica102,musica102_trecho1,Posso amar outra pessoa,Henrique & Juliano,2023.0,4
105,Carta Aberta,musica102,musica102_trecho2,"Não quero mais, eu avisei",Henrique & Juliano,2023.0,5
105,Carta Aberta,musica102,musica102_trecho3,E um dia avisado,Henrique & Juliano,2023.0,4
105,Carta Aberta,musica102,musica102_trecho4,Não ia adiantar mais,Henrique & Juliano,2023.0,4
105,Carta Aberta,musica102,musica102_trecho5,Esse dia chegou,Henrique & Juliano,2023.0,3
105,Carta Aberta,musica102,musica102_trecho6,"Eu tô indo feliz, mas engoli o nó",Henrique & Juliano,2023.0,8
105,Carta Aberta,musica102,musica102_trecho7,"Mesmo assim eu não fico, eu não me preparei",Henrique & Juliano,2023.0,9
105,Carta Aberta,musica102,musica102_trecho8,Pra já parar num beijo só,Henrique & Juliano,2023.0,6
105,Carta Aberta,musica102,musica102_trecho9,Pensar na gente pode,Henrique & Juliano,2023.0,4
105,Carta Aberta,musica102,musica102_trecho10,Mas eu não recomendo,Henrique & Juliano,2023.0,4
105,Carta Aberta,musica102,musica102_trecho11,Talvez eu não mereça essa água escorrendo,Henrique & Juliano,2023.0,7
105,Carta Aberta,musica102,musica102_trecho12,Que ainda assim eu vou amar você,Henrique & Juliano,2023.0,7
105,Carta Aberta,musica102,musica102_trecho13,Eu já consigo ver saudade,Henrique & Juliano,2023.0,5
105,Carta Aberta,musica102,musica102_trecho14,Na foto que cê vai postar bebendo,Henrique & Juliano,2023.0,7
105,Carta Aberta,musica102,musica102_trecho15,Também vou sentir saudade,Henrique & Juliano,2023.0,4
105,Carta Aberta,musica102,musica102_trecho16,Vou querer voltar correndo,Henrique & Juliano,2023.0,4
105,Carta Aberta,musica102,musica102_trecho17,Mas parece que eu não quero nem pensar nesse momento,Henrique & Juliano,2023.0,10
105,Carta Aberta,musica102,musica102_trecho18,É que eu tô tão grande dentro de mim,Henrique & Juliano,2023.0,9
105,Carta Aberta,musica102,musica102_trecho19,Que o espaço que sobrou não tá te cabendo,Henrique & Juliano,2023.0,9
105,Carta Aberta,musica102,musica102_trecho20,Lembre-se de mim só até certo ponto,Henrique & Juliano,2023.0,7
105,Carta Aberta,musica102,musica102_trecho21,Se a lembrança machucar é que passou do ponto,Henrique & Juliano,2023.0,9
105,Carta Aberta,musica102,musica102_trecho22,Lembre-se da gente só até ser saudável,Henrique & Juliano,2023.0,7
105,Carta Aberta,musica102,musica102_trecho23,Porque coração tem seus departamentos,Henrique & Juliano,2023.0,5
105,Carta Aberta,musica102,musica102_trecho24,Pelo amor de,Henrique & Juliano,2023.0,3
105,Carta Aberta,musica102,musica102_trecho25,Deus,Henrique & Juliano,2023.0,1
105,Carta Aberta,musica102,musica102_trecho26,Não deixa qualquer coisa te deixar instável,Henrique & Juliano,2023.0,7
105,Carta Aberta,musica102,musica102_trecho27,Não seja frágil,Henrique & Juliano,2023.0,3
105,Carta Aberta,musica102,musica102_trecho28,"Calma, amor",Henrique & Juliano,2023.0,2
105,Carta Aberta,musica102,musica102_trecho29,"Tá tudo certo, amor",Henrique & Juliano,2023.0,4
105,Carta Aberta,musica102,musica102_trecho30,Tem como amar e não querer pra si essa manutenção,Henrique & Juliano,2023.0,10
105,Carta Aberta,musica102,musica102_trecho31,Da relação de um casal,Henrique & Juliano,2023.0,5
105,Carta Aberta,musica102,musica102_trecho32,Tem como ser tesão sem intenção,Henrique & Juliano,2023.0,6
105,Carta Aberta,musica102,musica102_trecho33,"Beijo, coração",Henrique & Juliano,2023.0,2
105,Carta Aberta,musica102,musica102_trecho34,E cabe uma pancada de gente dentro,Henrique & Juliano,2023.0,7
105,Carta Aberta,musica102,musica102_trecho35,Te amo e vê se não fica mal,Henrique & Juliano,2023.0,8
105,Carta Aberta,musica102,musica102_trecho36,"Tchau, tchau, tchau, tchau",Henrique & Juliano,2023.0,4
105,Carta Aberta,musica102,musica102_trecho37,Tchau,Henrique & Juliano,2023.0,1
105,Carta Aberta,musica102,musica102_trecho38,Não me pergunte como,Henrique & Juliano,2023.0,4
105,Carta Aberta,musica102,musica102_trecho39,Eu sinto que tem como,Henrique & Juliano,2023.0,5
105,Carta Aberta,musica102,musica102_trecho40,"Eu sinto que o que eu sinto, isso faz tempo",Henrique & Juliano,2023.0,10
